Name_Surname,Date_of_birth,Position,Season
Vladimiras Medvetski ,1997-07-03 [23 m.],Gynėjas,2019
Miguel Gil Mast ,1993-08-16 [26 m.],Gynėjas,2019
Aurimas Andrulis ,1991-02-17 [29 m.],Gynėjas,2019
Leonid Lisovskij ,1988-02-05 [32 m.],Saugas,2019
Vytautas Žičius ,1990-01-05 [30 m.],Saugas,2019
Arminas Vaskela ,1990-08-12 [29 m.],Saugas,2019
Donatas Stakauskas ,1978-08-16 [41 m.],Saugas,2019
Ignas Griškonis ,1987-05-14 [33 m.],Saugas,2019
Laurynas Juknys ,1989-03-03 [31 m.],Saugas,2019
Kiril Abaškin ,1990-12-03 [29 m.],Saugas,2019
Gediminas Repšys ,1986-02-22 [34 m.],Saugas,2019
Žygimantas Juknys ,1995-05-20 [25 m.],Saugas,2019
Ugnius Juozaitis ,1993-07-30 [26 m.],Saugas,2019
Artūras Bubokas ,1987-10-25 [32 m.],Saugas,2019
Arminas Mosteika ,1988-02-06 [32 m.],Saugas,2019
Mykolas Antušas ,1999-01-07 [21 m.],Saugas,2019
Heraclio U. Perez ,1987-02-26 [33 m.],Saugas,2019
Mantas Taraškevičius ,1998-10-21 [21 m.],Saugas,2019
Laurynas Zibolis ,1979-12-14 [40 m.],Puolėjas,2019
Valdemar Šaveiko ,1992-02-21 [28 m.],Puolėjas,2019
Alvinas Dūdėnas ,1988-06-11 [32 m.],Puolėjas,2019
Domantas Gegevičius ,1997-07-11 [23 m.],Puolėjas,2019
Džiugas Mikalkėnas ,1992-04-08 [28 m.],Puolėjas,2019
